0,18,64,6697.38,101.53
1,126,256,6422.52,102.60
2,43,128,6750.92,101.13
3,10,64,6754.93,101.58
4,402,640,6433.239,102.60
5,22,64,7260.77,100.08
6,15,64,6815.17,100.43
7,56,128,6643.78,101.98
8,22,64,6751.79,100.64
9,31,128,6894.82,100.99
10,18,64,6923.69,98.77
11,24,64,6857.75,100.92
12,17,64,6468.66,102.31
13,24,64,6747.12,100.78
14,27,64,6756.02,99.85
15,7,64,6499.58,101.65
16,19,64,6849.19,101.37
17,25,64,6932.82,100.76
18,32,128,6625.72,102.18
19,62,128,6618.74,100.36
20,19,64,6562.20,100.78
21,15,64,6870.22,99.90
22,29,64,6559.46,101.81
23,32,128,6527.85,102.17
24,252,512,6622.21,101.13
